نوع البطولة,الفريق الاول,الفريق الثانى,ميعاد المباراة,النتيجة
الدوري المصري,المصري,كهرباء الإسماعيلية,18:00,4 - 4
الدوري المصري,مودرن سبورت,حرس الحدود,18:00,1 - 1
الدوري المصري,وادي دجلة,الزمالك,21:00,- - -
الدوري المصري,سموحة,بتروجت,21:00,- - -
الدوري الإنجليزي,برايتون,مانشستر سيتي,16:00,2 - 2
الدوري الإنجليزي,نوتينجهام فورست,وست هام يونايتد,16:00,0 - 0
الدوري الإنجليزي,ليفربول,أرسنال,18:30,1 - 1
الدوري الإنجليزي,أستون فيلا,كريستال بالاس,21:00,- - -
الدوري الإسباني,سيلتا فيجو,فياريال,18:00,1 - 1
الدوري الإسباني,ريال بيتيس,أتلتيك بلباو,20:00,0 - 0
الدوري الإسباني,اسبانيول,أوساسونا,20:30,- - -
الدوري الإسباني,رايو فاييكانو,برشلونة,22:30,- - -
الدوري الإيطالي,جنوى,يوفنتوس,19:30,0 - 0
الدوري الإيطالي,تورينو,فيورنتينا,19:30,0 - 0
الدوري الإيطالي,لاتسيو,هيلاس فيرونا,21:45,- - -
الدوري الإيطالي,إنتر ميلان,أودينيزي,21:45,- - -
الدوري الفرنسي,أنجيه,رين,16:00,1 - 1
الدوري الفرنسي,نادي باريس,ميتز,18:15,3 - 3
الدوري الفرنسي,موناكو,ستراسبورج,18:15,3 - 3
الدوري الفرنسي,لوهافر,نيس,18:15,3 - 3
الدوري الفرنسي,ليون,مارسيليا,21:45,- - -
الدوري الألماني,فولفسبورج,ماينز,16:30,1 - 1
الدوري الألماني,بروسيا دورتموند,يونيون برلين,18:30,3 - 3
الدوري الألماني,كولن,فرايبورج,20:30,- - -
كأس خادم الحرمين الشريفين,العربي السعودي,أهلي جدة,19:00,0 - 0
الدوري التركي,جنتشلربيرليجي,فنربخشة,19:00,0 - 0
الدوري التركي,إسطنبول باشاكشهير,ايوبسبور,19:00,0 - 0
الدوري التركي,ألانيا سبور,بشكتاش,21:30,- - -
الدوري التركي,طرابزون سبور,سامسون سبور,21:30,- - -
الدوري البرتغالي,تونديلا,إستوريل برايا,17:30,2 - 2
الدوري البرتغالي,ألفيركا,بنفيكا,20:00,0 - 0
الدوري البرتغالي,ريو آفي,سبورتينج براجا,22:30,- - -
الدوري البرتغالي,سانتا كلارا,إستريلا,22:30,- - -
